index,day_of_week,month,hour,x_coord,y_coord,delays
89,5.0,4.0,17.0,-84.384096,33.764992,201.025
90,5.0,4.0,18.0,-84.384096,33.764992,185.475
91,5.0,4.0,19.0,-84.384096,33.764992,142.25
92,5.0,4.0,20.0,-84.384096,33.764992,136.55
93,5.0,4.0,21.0,-84.384096,33.764992,156.45
94,5.0,4.0,22.0,-84.384096,33.764992,162.73666666666668
95,5.0,4.0,23.0,-84.384096,33.764992,125.0
96,5.0,4.0,0.0,-84.407813,33.801768,111.6
97,5.0,4.0,1.0,-84.407813,33.801768,124.65
98,5.0,4.0,2.0,-84.407813,33.801768,123.4
99,5.0,4.0,3.0,-84.407813,33.801768,133.6
100,5.0,4.0,4.0,-84.407813,33.801768,136.925
101,5.0,4.0,5.0,-84.407813,33.801768,136.925
102,5.0,4.0,6.0,-84.407813,33.801768,138.075
103,5.0,4.0,7.0,-84.407813,33.801768,146.725
104,5.0,4.0,8.0,-84.407813,33.801768,156.275
105,5.0,4.0,9.0,-84.407813,33.801768,169.875
106,5.0,4.0,10.0,-84.407813,33.801768,186.525
107,5.0,4.0,11.0,-84.407813,33.801768,219.975
108,5.0,4.0,12.0,-84.407813,33.801768,180.05833333333334
109,5.0,4.0,13.0,-84.407813,33.801768,166.775
110,5.0,4.0,14.0,-84.407813,33.801768,171.74166666666665
111,5.0,4.0,15.0,-84.407813,33.801768,168.39166666666665
112,5.0,4.0,16.0,-84.407813,33.801768,133.2766666666667
113,5.0,4.0,17.0,-84.407813,33.801768,121.92666666666666
114,5.0,4.0,18.0,-84.407813,33.801768,121.74369047619048
115,5.0,4.0,19.0,-84.407813,33.801768,112.27666666666667
116,5.0,4.0,20.0,-84.407813,33.801768,113.98833333333332
117,5.0,4.0,21.0,-84.407813,33.801768,99.0327380952381
118,5.0,4.0,22.0,-84.407813,33.801768,89.15
119,5.0,4.0,23.0,-84.407813,33.801768,101.60833333333332
120,5.0,4.0,0.0,-84.36538,33.769542,130.575
121,5.0,4.0,1.0,-84.36538,33.769542,285.225
122,5.0,4.0,2.0,-84.36538,33.769542,592.975
123,5.0,4.0,3.0,-84.36538,33.769542,1031.2
124,5.0,4.0,4.0,-84.36538,33.769542,259.1666666666667
125,5.0,4.0,5.0,-84.36538,33.769542,259.1666666666667
126,5.0,4.0,6.0,-84.36538,33.769542,259.1666666666667
